day,count
2025-02-10,1265
2025-02-11,3419
2025-02-12,3670
2025-02-13,5309
2025-02-14,7960
2025-02-15,4392
2025-02-16,4388
2025-02-17,5910
2025-02-18,7679
2025-02-19,9181
2025-02-20,8623
2025-02-21,7354
2025-02-22,3181
2025-02-23,2669
2025-02-24,3516
2025-02-25,3679
2025-02-26,3868
2025-02-27,3582
2025-02-28,5723
2025-03-01,5711
2025-03-02,2276
2025-03-03,3299
2025-03-04,2550
2025-03-05,2999
2025-03-06,3975
2025-03-07,4851
2025-03-08,1436
2025-03-09,1468
2025-03-10,3061
2025-03-11,3516
2025-03-12,5039
2025-03-13,5070
2025-03-14,4453
2025-03-15,2565
2025-03-16,4126
2025-03-17,3650
2025-03-18,5495
2025-03-19,3787
2025-03-20,3514
2025-03-21,4980
2025-03-22,2164
2025-03-23,2827
2025-03-24,3079
2025-03-25,2773
2025-03-26,2663
2025-03-27,2987
2025-03-28,2489
2025-03-29,1382
2025-03-30,1594
2025-03-31,3660
2025-04-01,4012
2025-04-02,3248
2025-04-03,2503
2025-04-04,2995
2025-04-05,2146
2025-04-06,996
2025-04-07,3481
2025-04-08,3236
2025-04-09,3744
2025-04-10,4038
2025-04-11,5424
2025-04-12,1810
2025-04-13,2132
2025-04-14,2814
2025-04-15,4152
2025-04-16,3497
2025-04-17,3076
2025-04-18,2341
2025-04-19,1511
2025-04-20,1721
2025-04-21,2602
2025-04-22,2444
2025-04-23,2779
2025-04-24,3079
2025-04-25,2975
2025-04-26,2721
2025-04-27,2190
2025-04-28,2450
2025-04-29,13389
2025-04-30,25478
2025-05-01,15036
2025-05-02,12056
2025-05-03,19283
2025-05-04,622
2025-05-05,8687
2025-05-06,29836
2025-05-07,366488
2025-05-08,750792
2025-05-09,112953
2025-05-10,1318
2025-05-11,17113
2025-05-12,298582
2025-05-13,948761
2025-05-14,1094399
2025-05-15,684854
2025-05-16,12957
2025-05-17,9191
2025-05-18,13699
2025-05-19,17961
2025-05-20,23398
2025-05-21,13625
2025-05-22,12512
2025-05-23,12832
2025-05-24,10350
2025-05-25,25154
2025-05-26,40495
2025-05-27,42431
2025-05-28,24989
2025-05-29,7566
2025-05-30,2551
2025-05-31,1702
2025-06-01,1409
2025-06-02,2456
2025-06-03,7113
2025-06-04,9223
2025-06-05,11940
2025-06-06,11086
2025-06-07,6577
2025-06-08,6397
2025-06-09,9052
2025-06-10,45958
2025-06-11,56767
2025-06-12,10602
2025-06-13,8751
2025-06-14,7873
2025-06-15,8766
2025-06-16,40221
2025-06-17,85251
2025-06-18,56007
2025-06-19,2882
2025-06-20,43839
2025-06-21,89634
2025-06-22,92220
2025-06-23,94678
2025-06-24,24206
2025-06-25,11449
2025-06-26,13409
2025-06-27,32064
2025-06-28,31565
2025-06-29,25098
2025-06-30,24624
2025-07-01,27091
2025-07-02,31229
2025-07-03,40964
2025-07-04,133718
2025-07-05,72055
2025-07-06,45812
2025-07-07,53049
2025-07-08,53629
2025-07-09,136323
2025-07-10,158120
2025-07-11,42281
2025-07-12,43053
2025-07-13,180318
2025-07-14,77135
2025-07-15,107043
2025-07-16,83210
2025-07-17,3098
2025-07-18,27957
2025-07-19,70827
2025-07-20,59963
2025-07-21,63692
2025-07-22,105225
2025-07-23,65125
2025-07-24,47367
2025-07-25,52653
2025-07-26,63012
2025-07-27,63798
2025-07-28,59846
2025-07-29,46796
2025-07-30,55109
2025-07-31,42066
2025-08-01,38903
2025-08-02,39135
2025-08-03,23299
2025-08-04,13726
2025-08-05,13213
2025-08-06,10919
2025-08-07,7068
2025-08-08,9266
2025-08-09,4492
2025-08-10,12289
2025-08-11,17008
2025-08-12,18240
2025-08-13,17386
2025-08-14,21142
2025-08-15,17739
2025-08-16,15797
2025-08-17,8519
2025-08-18,4985
2025-08-19,12337
2025-08-20,6409
2025-08-21,12555
2025-08-22,5440
2025-08-23,4815
2025-08-24,4814
2025-08-25,5187
2025-08-26,4944
2025-08-27,3790
2025-08-28,4057
2025-08-29,6464
2025-08-30,4889
2025-08-31,4848
2025-09-01,49434
2025-09-02,46277
2025-09-03,72836
2025-09-04,15724
2025-09-05,11762
2025-09-06,19520
2025-09-07,19772
2025-09-08,26395
2025-09-09,31988
2025-09-10,17726
2025-09-11,16320
2025-09-12,18914
2025-09-13,12390
2025-09-14,2612
2025-09-15,5334
2025-09-16,7257
2025-09-17,5180
2025-09-18,5104
2025-09-19,3467
2025-09-20,3489
